game,AAA,critics,user,year
Age of Mythology: The Titans,1,83.44,87.0,2003
Age of Pirates 2: City of Abandoned Ships,0,61.0,78.0,2009
Age of Pirates: Caribbean Tales,0,60.58,63.0,2006
Age of Wonders,0,82.25,0.0,1999
Age of Wonders II: The Wizard's Throne,0,83.46,84.0,2002
Age of Wonders III,0,80.0,80.0,2014
Age of Wonders III - Eternal Lords,0,80.0,84.0,2015
Age of Wonders III - Golden Realms,0,82.0,86.0,2014
Age of Wonders: Shadow Magic,0,83.59,85.0,2003
Age of Wushu,0,74.0,54.0,2013
Agents of Mayhem,1,62.0,66.0,2017
Aggressive Inline,0,86.17,0.0,2002
Aion,0,76.0,66.0,2009
Air Conflicts: Secret Wars,0,65.0,64.0,2011
Air Conflicts: Vietnam,0,43.0,28.0,2013
Air Conflicts: Vietnam Ultimate Edition,0,30.0,16.0,2014
Air Raid: This Is Not a Drill!,0,39.0,67.0,2003
AirBlade,0,73.12,0.0,2002
AirBuccaneers,0,74.0,68.0,2012
AirForce Delta Storm,1,67.06,0.0,2001
AirForce Delta Strike,1,65.4,0.0,2004
AirMech Arena,1,73.0,73.0,2014
Airborne Assault: Conquest of the Aegean,0,78.0,69.0,2006
Airborne Assault: Highway to the Reich,0,81.0,61.0,2003
Airborne Assault: Red Devils Over Arnhem,0,82.0,74.0,2002
Airfix Dogfighter,0,75.0,83.0,2000
Airline Tycoon 2,0,57.0,55.0,2011
Airport Tycoon 2,0,32.0,49.0,2003
Airport Tycoon 3,0,46.0,48.0,2003
Airscape: The Fall of Gravity,0,75.0,66.0,2015
Akai Katana,0,75.0,80.0,2012
Akaneiro: Demon Hunters,0,53.0,65.0,2013
Akiba's Beat,0,55.0,71.0,2017
Akiba's Trip: Undead & Undressed,0,57.0,68.0,2014
Akimi Village,1,69.0,35.0,2011
Al Emmo and the Lost Dutchman's Mine,0,77.0,74.0,2006
Alan Wake,1,83.0,80.0,2012
Alan Wake's American Nightmare,1,76.0,67.0,2012
Alan Wake: The Signal,1,75.0,68.0,2010
Alan Wake: The Writer,1,80.0,72.0,2010
Albedo: Eyes from Outer Space,0,66.0,63.0,2014
Albert & Otto: The Adventure Begins,0,69.0,71.0,2015
Albion Online,0,72.0,38.0,2017
Alchemic Jousts,0,65.0,63.0,2016
Alekhine's Gun,0,40.0,37.0,2016
Alexander,1,56.0,61.0,2004
Alfred Hitchcock presents The Final Cut,1,50.43,62.0,2002
Alias,0,66.39,74.0,2004
Alice in Wonderland,1,63.0,59.0,2010
Alice: Madness Returns,1,70.0,84.0,2011
Alien Blast: The Encounter,0,41.0,60.0,2004
Alien Breed,0,68.0,38.0,2013
Alien Breed 2: Assault,0,67.0,58.0,2010
Alien Breed 3: Descent,0,68.0,51.0,2010
Alien Breed: Evolution,0,69.0,80.0,2009
Alien Breed: Impact,0,64.0,61.0,2010
Alien Hominid,0,80.61,0.0,2004
Alien Hominid HD,0,79.0,75.0,2007
Alien Rage,0,52.0,68.0,2013
Alien Resurrection,0,64.12,0.0,2000
Alien Shooter: Vengeance,0,67.0,83.0,2007
Alien Spidy,0,55.0,43.0,2013
Alien Swarm,0,77.0,82.0,2010
Alien Syndrome,0,51.38,0.0,2007
Alien: Isolation,0,79.0,84.0,2014
Alienation,0,79.0,80.0,2016
Aliens Go Home Run,0,84.0,70.0,2017
Aliens Versus Predator,0,84.06,0.0,1999
Aliens Versus Predator 2,0,85.73,87.0,2001
Aliens Versus Predator 2: Primal Hunt Expansion Pack,0,60.0,77.0,2002
Aliens Versus Predator: Extinction,1,65.45,0.0,2003
Aliens vs. Predator,0,64.0,74.0,2010
Aliens vs. Predator: Requiem,0,49.51,0.0,2007
Aliens: Colonial Marines,0,48.0,35.0,2013
Aliens: Infestation,0,77.28,0.0,2011
All Zombies Must Die!,0,60.0,57.0,2012
All-Pro Football 2K8,0,74.18,68.0,2007
All-Star Baseball 2002,0,75.09,0.0,2001
All-Star Baseball 2003,0,76.81,0.0,2002
All-Star Baseball 2004,0,76.22,0.0,2003
All-Star Baseball 2005,0,75.41,0.0,2004
Allegiance,1,85.2,83.0,2000
Alliance: Future Combat,0,43.0,79.0,2006
Allods Online,0,69.0,61.0,2011
Alone With You,0,72.0,75.0,2016
Alone in the Dark,1,58.0,56.0,2008
Alone in the Dark: Illumination,0,19.0,12.0,2015
Alone in the Dark: Inferno,1,69.0,55.0,2008
Alone in the Dark: The New Nightmare,0,69.97,75.0,2001
Alone in the Dark: The Trilogy 1+2+3,0,72.0,74.0,1997
Alpha Polaris: A Horror Adventure Game,0,52.0,47.0,2011
Alpha Prime,0,59.81,60.0,2007
Alpha Protocol,0,63.0,75.0,2010
Alter Echo,0,65.28,0.0,2003
Alter Ego (2010),0,59.0,58.0,2010
Altered Beast,0,40.0,66.0,2009
Alternativa,0,63.0,60.0,2010
Altitude,0,79.0,86.0,2009
Alundra 2,1,69.32,0.0,2000
Alwa's Awakening,0,71.0,75.0,2017
Always Sometimes Monsters,0,73.0,72.0,2014
Amazing Discoveries In Outer Space,0,71.0,59.0,2016
Amazing Island,0,61.36,0.0,2004
Amazons & Aliens,0,48.0,52.0,2000
America,0,57.4,79.0,2001
America's Army,0,82.0,60.0,2002
America's Army 3,0,70.0,77.0,2009
America's Army: Rise of a Soldier,1,67.86,0.0,2005
America's Army: Special Forces,0,85.0,84.0,2003
America's Army: True Soldiers,1,43.0,67.0,2007
American Conquest,0,76.22,84.0,2003
American Conquest: Divided Nation,0,53.0,73.0,2006
American Conquest: Fight Back,0,66.0,76.0,2003
American Idol,0,52.27,35.0,2003
American McGee Presents Bad Day LA,0,28.0,72.0,2006
American McGee's Alice,1,85.0,81.0,2000
American Truck Simulator,0,76.0,66.0,2016
Amnesia Collection,0,78.0,73.0,2016
Amnesia: A Machine for Pigs,0,72.0,59.0,2013
Amnesia: Memories,0,72.0,70.0,2015
Amnesia: The Dark Descent,0,85.0,86.0,2010
Among the Sleep,0,66.0,75.0,2014
Amped 2,1,81.88,0.0,2003
Amped 3,0,74.06,71.0,2005
Amped: Freestyle Snowboarding,1,82.29,0.0,2001
Amplitude,0,85.38,75.0,2016
Anacapri: The Dream,0,39.0,42.0,2007
Anachronox,0,80.15,83.0,2001
Analogue: A Hate Story,0,62.0,79.0,2012
Anarchy Online,0,72.0,75.0,2001
Anarchy Online: Alien Invasion,0,74.23,70.0,2004
Anarchy Online: Shadowlands,0,85.0,85.0,2003
Anarchy Online: The Notum Wars,0,71.0,82.0,2002
Anarchy Reigns,0,73.0,81.0,2013
Anarchy: Rush Hour,0,59.0,49.0,2010
Anarcute,0,74.0,75.0,2016
Ancient Amuletor,0,60.0,60.0,2017
Ancient Space,0,68.0,74.0,2014
Ancient Wars: Sparta,0,59.0,71.0,2007
Ancients of Ooga,0,69.0,58.0,2010
And 1 Streetball,1,52.98,0.0,2006
And Yet It Moves,0,85.3,62.0,2009
Angels with Scaly Wings,0,67.0,84.0,2017
Angry Birds Star Wars,1,49.0,20.0,2013
Angry Birds Trilogy,1,63.0,35.0,2012
Angry Video Game Nerd Adventures,0,77.0,76.0,2013
Anima: Gate of Memories,0,52.0,75.0,2016
Animal Crossing,1,86.25,0.0,2002
Animal Crossing: City Folk,1,73.54,0.0,2008
